"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"1",1,"Issah Abbas","GHA","WB","Mainz",22,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,NA
"2",2,"David Abraham","ARG","CB","Eintracht",34,1986,14,14,1222,13.6,1,0,0,5,1,0.7,0.7,0.5,3.32
"3",3,"Amir Abrashi","ALB","DM","Freiburg",30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,NA
"4",4,"Ragnar Ache","GER","FW","Eintracht",22,1998,2,0,36,0.4,0,0,0,0,0,0,0,0,NA
"5",5,"Tyler Adams","USA","DM","Leipzig",21,1999,15,11,1051,11.7,1,0,0,2,0,0.5,0.5,0.3,3.5
"6",6,"Sargis Adamyan","ARM","W","Hoffenheim",27,1993,9,0,154,1.7,1,2,0,0,0,1.1,1.1,0.4,NA
"7",7,"Felix Agu","GER","WB","Werder",21,1999,7,4,365,4.1,1,0,0,0,0,0.6,0.6,0.2,NA
"8",8,"Manuel Akanji","SUI","CB","Dortmund",25,1995,17,16,1475,16.4,2,0,0,2,0,1.5,1.5,0.1,3.5
"9",9,"Kevin Akpoguma","NGA","CB","Hoffenheim",25,1995,13,11,942,10.5,0,0,0,1,0,0,0,0.4,3.6
"10",10,"David Alaba","AUT","CB","Bayern",28,1992,18,17,1542,17.1,2,0,0,1,0,0.3,0.3,0.4,3.38
"11",11,"Lucas Alario","ARG","FW","Leverkusen",28,1992,16,8,826,9.2,8,1,2,2,0,4.8,3.3,0.3,NA
"12",12,"Omar Alderete","PAR","CB","Hertha",24,1996,10,10,884,9.8,0,0,0,1,0,0.5,0.5,0.1,3.85
"13",13,"Nadiem Amiri","GER","CM","Leverkusen",24,1996,17,14,1272,14.1,2,6,0,2,0,1.2,1.2,2.2,3.57
"14",14,"Sebastian Andersson","SWE","FW","Koeln",29,1991,10,9,737,8.2,2,0,1,0,0,3.3,2.6,0.3,NA
"15",15,"Robert Andrich","GER","CM","Union",26,1994,16,16,1356,15.1,4,1,0,2,1,1.5,1.5,1.4,3.09
"16",16,"Angelino","ESP","WB","Leipzig",24,1997,18,18,1610,17.9,4,2,0,2,0,3.4,3.4,3.9,2.83
"17",17,"Waldemar Anton","GER","CB","Stuttgart",24,1996,16,15,1361,15.1,0,1,0,2,0,0.9,0.9,0.4,3.43
"18",18,"Charles Aránguiz","CHI","CM","Leverkusen",31,1989,8,7,567,6.3,0,0,0,2,0,0.4,0.4,0.1,NA
"19",19,"Santiago Arias","COL","FB","Leverkusen",29,1992,1,1,90,1,0,0,0,0,0,0,0,0,NA
"20",20,"Maximilian Arnold","GER","CM","Wolfsburg",26,1994,16,16,1361,15.1,2,4,0,4,1,1.1,1.1,2.2,3.06
"21",21,"Toluwalas Arokodare","NGA","FW","Koeln",20,2000,7,0,77,0.9,0,0,0,0,0,0.2,0.2,0,NA
"22",22,"Santiago Ascacíbar","ARG","DM","Hertha",23,1997,1,1,88,1,0,0,0,0,0,0,0,0,NA
"23",23,"Ludwig Augustinsson","SWE","FB","Werder",26,1994,13,12,1110,12.3,0,4,0,4,0,0.5,0.5,2,3.27
"24",24,"Taiwo Awoniyi","NGA","FW","Union",23,1997,17,14,1134,12.6,5,2,0,0,0,5.4,5.4,1.2,3.36
"25",25,"Leon Bailey","JAM","W","Leverkusen",23,1997,18,16,1384,15.4,4,5,0,4,0,3.7,3.7,2.6,3.28
"26",26,"Ridle Baku","GER","WB","Wolfsburg",22,1998,17,16,1385,15.4,3,2,0,0,0,0.9,0.9,2.4,3.28
"27",26,"Ridle Baku","GER","FB","Mainz",22,1998,2,2,180,2,0,0,0,0,0,0,0,0,3.28
"28",27,"Aymen Barkok","MAR","AM","Eintracht",22,1998,17,7,699,7.8,2,3,0,5,0,1.4,1.4,2.5,3.5
"29",28,"Leandro Barreiro Martins","LUX","CM","Mainz",21,2000,14,12,1056,11.7,1,1,0,1,0,0.6,0.6,0.9,3.83
"30",29,"Jacob Barrett Laursen","DEN","FB","Arminia",26,1994,9,7,653,7.3,0,1,0,1,0,0,0,1.2,NA
"31",30,"Oliver Baumann","GER","GK","Hoffenheim",30,1990,18,18,1620,18,0,0,0,1,0,0,0,0,2.86
"32",31,"Julian Baumgartlinger","AUT","DM","Leverkusen",33,1988,16,12,1070,11.9,2,0,0,1,0,1.4,1.4,0.3,3
"33",32,"Christoph Baumgartner","AUT","CM","Hoffenheim",21,1999,18,16,1382,15.4,3,3,0,4,0,3.3,3.3,2.1,3.12
"34",33,"Noah Joel Sarenren Bazee","NGA","W","Augsburg",24,1996,3,0,34,0.4,0,1,0,1,0,0,0,0.7,NA
"35",34,"Ihlas Bebou","TOG","FW","Hoffenheim",26,1994,17,10,976,10.8,3,4,0,2,0,2.9,2.9,2.6,3.29
"36",35,"Sheraldo Becker","NED","W","Union",25,1995,16,15,1072,11.9,3,2,0,2,0,2,2,2.8,3.43
"37",36,"Timo Becker","GER","FB","Schalke",23,1997,7,5,495,5.5,0,0,0,0,0,0.1,0.1,0.1,NA
"38",37,"Brian Behrendt","GER","CB","Arminia",29,1991,3,0,79,0.9,0,0,0,0,0,0,0,0,NA
"39",38,"Maximilian Beier","GER","FW","Hoffenheim",18,2002,2,0,2,0,0,0,0,0,0,0,0,0,NA
"40",39,"Ishak Belfodil","ALG","FW","Hoffenheim",29,1992,12,6,489,5.4,0,1,0,0,0,1.3,1.3,1,NA
"41",40,"Stefan Bell","GER","CB","Mainz",29,1991,4,4,327,3.6,0,1,0,1,0,0.1,0.1,0.8,NA
"42",41,"Karim Bellarabi","GER","W","Leverkusen",30,1990,14,3,431,4.8,0,0,0,2,0,0.9,0.9,0.8,NA
"43",42,"Jude Bellingham"," ENG","CM","Dortmund",17,2003,15,9,759,8.4,0,2,0,0,0,1.5,1.5,2.2,3.1
"44",43,"Lars Bender","GER","FB","Leverkusen",31,1989,13,12,934,10.4,0,2,0,2,0,0.5,0.5,0.5,3.25
"45",44,"Sven Bender","GER","CB","Leverkusen",31,1989,8,8,620,6.9,0,0,0,1,0,0,0,0.3,NA
"46",45,"László Bénes","SVK","AM","Moenchengladbach",23,1997,7,1,150,1.7,0,1,0,0,0,0.1,0.1,0.4,NA
"47",46,"Ramy Bensebaini","ALG","FB","Moenchengladbach",25,1995,12,9,846,9.4,1,0,0,3,0,0.9,0.9,0.3,NA
"48",47,"Nabil Bentaleb","ALG","CM","Schalke",26,1994,7,5,450,5,0,0,0,1,0,0,0,0.1,NA
"49",48,"Bartosz Bialek","POL","FW","Wolfsburg",19,2001,10,1,175,1.9,2,0,0,0,0,1.9,1.9,0.2,NA
"50",49,"Ermin Bièakèiæ","BIH","CB","Hoffenheim",31,1990,2,2,128,1.4,1,0,0,1,0,0.4,0.4,0,NA
"51",50,"Leonardo Bittencourt","GER","W","Werder",27,1993,16,13,1038,11.5,4,1,1,2,0,4.1,3.3,0.7,3.79
"52",51,"Jérôme Boateng","GER","CB","Bayern",32,1988,17,17,1412,15.7,1,1,0,4,0,0.2,0.2,0.4,3.26
"53",52,"Jean-Paul Boëtius","NED","W","Mainz",26,1994,17,15,1270,14.1,0,2,0,3,0,1,1,3.4,4.2
"54",53,"Melayro Bogarde","NED","CB","Hoffenheim",18,2002,6,2,266,3,0,0,0,1,0,0.1,0.1,0.1,NA
"55",54,"Dennis Borkowski","GER","CM","Leipzig",19,2002,2,0,11,0.1,0,0,0,0,0,0,0,0,NA
"56",55,"Sebastiaan Bornauw","BEL","CB","Koeln",21,1999,17,17,1530,17,0,1,0,2,0,1,1,0,NA
"57",56,"Nassim Boujellab","MAR","AM","Schalke",21,1999,9,5,481,5.3,1,0,0,2,0,1.3,1.3,0.2,NA
"58",57,"Dedryck Boyata","BEL","CB","Hertha",30,1990,13,13,1153,12.8,0,0,0,1,0,0.4,0.4,0.7,3.19
"59",58,"Can Bozdogan","GER","AM","Schalke",19,2001,9,2,405,4.5,0,0,0,0,0,0.3,0.3,0.1,NA
"60",59,"Julian Brandt","GER","CM","Dortmund",24,1996,18,10,936,10.4,1,1,0,0,0,2,2,2.1,4
"61",60,"Josip Brekalo","CRO","FW","Wolfsburg",22,1998,18,15,1195,13.3,2,1,0,1,0,2,2,2,3.63
"62",61,"Joshua Brenet","NED","FB","Hoffenheim",26,1994,1,0,1,0,0,0,0,0,0,0,0,0,NA
"63",62,"John Brooks","USA","CB","Wolfsburg",28,1993,18,17,1548,17.2,2,0,0,3,0,0.6,0.6,0.3,3.15
"64",63,"Daniel Brosinski","GER","FB","Mainz",32,1988,12,12,1010,11.2,1,1,1,0,0,1,0.3,1.3,4.08
"65",64,"Cédric Brunner","SUI","FB","Arminia",26,1994,17,16,1449,16.1,0,1,0,3,0,0.2,0.2,0.5,3.82
"66",65,"Jacob Bruun Larsen","DEN","W","Hoffenheim",22,1998,2,1,89,1,0,0,0,0,0,0,0,0,NA
"67",66,"Marius Bülter","GER","W","Union",27,1993,16,5,599,6.7,1,0,0,1,0,1.4,1.4,0.9,NA
"68",67,"Jonathan Burkardt","GER","FW","Mainz",20,2000,17,9,848,9.4,1,0,0,0,0,3.1,3.1,0.7,3.77
"69",68,"Roman Bürki","SUI","GK","Dortmund",30,1990,16,16,1440,16,0,0,0,0,0,0,0,0,3.12
"70",69,"Daniel Caligiuri","ITA","W","Augsburg",33,1988,19,19,1672,18.6,4,2,0,4,0,1.7,1.7,2.3,3.55
"71",70,"Emre Can","GER","CB","Dortmund",27,1994,14,11,1010,11.2,1,2,0,5,0,0.6,0.6,1.8,3.5
"72",71,"Koen Casteels","BEL","GK","Wolfsburg",28,1992,18,18,1620,18,0,0,0,0,0,0,0,0,2.83
"73",72,"Gonzalo Castro","GER","CM","Stuttgart",33,1987,17,16,1154,12.8,3,1,0,5,0,2.9,2.9,2,3.37
"74",73,"Sava Cestic","GER","CB","Koeln",19,2001,7,7,569,6.3,0,0,0,2,0,0.1,0.1,0,NA
"75",74,"Timothy Chandler","USA","FB","Eintracht",30,1990,5,0,66,0.7,0,0,0,0,0,0.2,0.2,0,NA
"76",75,"Kwon Chang-hoon","KOR","W","Freiburg",26,1994,8,1,181,2,0,0,0,2,0,0.1,0.1,0,NA
"77",76,"Tahith Chong","NED","W","Werder",21,1999,13,4,386,4.3,0,1,0,1,0,0.3,0.3,0.5,NA
"78",77,"Darko Churlinov","MKD","WB","Stuttgart",20,2000,5,0,60,0.7,0,0,0,0,0,0,0,0,NA
"79",78,"Tim Civeja","GER","DM","Augsburg",19,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,NA
"80",79,"Kingsley Coman","FRA","W","Bayern",24,1996,15,12,943,10.5,2,9,0,1,0,2,2,4.5,2.83
"81",80,"Jhon Córdoba","COL","FW","Hertha",27,1993,12,10,896,10,5,0,0,3,0,4.6,4.6,1.3,3.64
"82",81,"Sergio Córdova","VEN","W","Arminia",23,1997,16,11,887,9.9,2,1,0,0,0,2.3,2.3,1.1,3.91
"83",82,"Danny da Costa","GER","WB","Mainz",27,1993,2,2,180,2,0,1,0,1,0,0,0,0.2,NA
"84",82,"Danny da Costa","GER","WB","Eintracht",27,1993,6,1,110,1.2,0,0,0,0,0,0.2,0.2,0,NA
"85",83,"Douglas Costa","BRA","W","Bayern",30,1990,10,3,302,3.4,1,1,0,0,0,0.1,0.1,0.7,NA
"86",84,"Tanguy Coulibaly","FRA","WB","Stuttgart",19,2001,18,10,832,9.2,2,0,0,0,0,1.9,1.9,1.5,3.42
"87",85,"Mickaël Cuisance","FRA","CM","Bayern",21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,NA
"88",86,"Matheus Cunha","BRA","FW","Hertha",21,1999,17,16,1415,15.7,6,3,2,7,0,5.5,3.2,3.1,3.41
"89",87,"Rafael Czichos","GER","CB","Koeln",30,1990,14,13,1055,11.7,1,0,0,3,0,1,1,0,3.77
"90",88,"Moanes Dabour","ISR","FW","Hoffenheim",28,1992,15,9,759,8.4,2,0,0,0,0,4.1,3.4,0.7,NA
"91",89,"Finn Dahmen","GER","GK","Mainz",22,1998,1,1,90,1,0,0,0,0,0,0,0,0,NA
"92",90,"Mahmoud Dahoud","GER","CM","Dortmund",25,1996,6,4,265,2.9,0,0,0,0,0,0.1,0.1,0.2,NA
"93",91,"Leon Dajaku","GER","W","Union",19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,NA
"94",92,"Márton Dárdai","GER","CB","Hertha",18,2002,2,0,17,0.2,0,0,0,0,0,0,0,0,NA
"95",93,"Vladimír Darida","CZE","CM","Hertha",30,1990,18,17,1343,14.9,0,5,0,1,0,0.6,0.6,3,3.76
"96",94,"Alphonso Davies","CAN","FB","Bayern",20,2000,11,10,788,8.8,0,0,0,1,0,0,0,0.4,NA
"97",95,"Thomas Delaney","DEN","DM","Dortmund",29,1991,10,7,682,7.6,1,0,0,5,0,0.3,0.3,0.2,NA
"98",96,"Kerem Demirbay","GER","CM","Leverkusen",27,1993,15,8,785,8.7,1,1,0,2,0,0.5,0.5,1.4,NA
"99",97,"Ermedin Demiroviæ","BIH","FW","Freiburg",22,1998,16,9,673,7.5,3,5,0,2,0,1.8,1.8,2.1,NA
"100",98,"Emmanuel Dennis","NGA","FW","Koeln",23,1997,1,1,81,0.9,0,0,0,0,0,0.1,0.1,0.1,NA
"101",99,"Mike van der Hoorn","NED","CB","Arminia",28,1992,16,14,1251,13.9,0,0,0,3,0,0.3,0.3,0.1,3.71
"102",100,"Moussa Diaby","FRA","W","Leverkusen",21,1999,19,19,1603,17.8,3,4,0,4,0,3.2,3.2,3.9,3.71
"103",101,"Daniel Didavi","GER","AM","Stuttgart",30,1990,13,8,691,7.7,2,3,0,2,0,2.5,2.5,2.3,NA
"104",102,"Javairô Dilrosun","NED","W","Hertha",22,1998,7,2,273,3,0,1,0,0,0,0.1,0.1,0.3,NA
"105",103,"Eren Dinkci","GER","FW","Werder",19,NA,1,0,6,0.1,1,0,0,0,0,0.3,0.3,0,NA
