"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"168",166,"Marcel Halstenberg","GER","CB","Leipzig",29,1991,13,11,955,10.6,2,1,1,2,0,1.3,0.5,0.5,3.33
"169",167,"Amine Harit","MAR","AM","Schalke",23,1997,14,12,953,10.6,1,5,0,2,0,0.5,0.5,3.2,4.54
"170",168,"Marcel Hartel","GER","CM","Arminia",25,1996,19,19,1596,17.7,0,0,0,1,0,0.9,0.9,1.1,4.18
"171",169,"Makoto Hasebe","JPN","DM","Eintracht",37,1984,15,15,1276,14.2,0,0,0,4,0,0.2,0.2,0,3.27
"172",170,"Thorgan Hazard","BEL","FW","Dortmund",27,1993,5,2,165,1.8,1,0,0,0,0,0.3,0.3,0,NA
"173",171,"Jonas Hector","GER","CM","Koeln",30,1990,9,6,513,5.7,0,0,0,2,0,0.3,0.3,0.2,NA
"174",172,"Hwang Hee-chan","KOR","W","Leipzig",25,1996,7,0,142,1.6,0,0,0,1,0,0.4,0.4,0,NA
"175",173,"Dominique Heintz","GER","CB","Freiburg",27,1993,11,8,743,8.3,0,0,0,1,0,0.2,0.2,0.1,NA
"176",174,"Benjamin Henrichs","GER","FB","Leipzig",23,1997,7,3,348,3.9,0,0,0,1,0,0.1,0.1,0.2,NA
"177",175,"Lucas Hernández","FRA","CB","Bayern",24,1996,11,9,789,8.8,0,1,0,1,0,0.7,0.7,0.4,NA
"178",176,"Patrick Herrmann","GER","W","Moenchengladbach",29,1991,18,8,742,8.2,0,2,0,2,0,2.4,2.4,1.2,NA
"179",177,"Martin Hinteregger","AUT","CB","Eintracht",28,1992,19,19,1672,18.6,1,1,0,1,0,1,1,0.4,3.37
"180",178,"Marwin Hitz","SUI","GK","Dortmund",33,1987,3,3,270,3,0,0,0,0,0,0,0,0,NA
"181",179,"Nicolas Höfler","GER","DM","Freiburg",30,1990,18,17,1559,17.3,1,2,0,5,0,0.8,0.8,0.9,3.69
"182",180,"Jonas Hofmann","GER","AM","Moenchengladbach",28,1992,13,12,1064,11.8,4,8,2,1,0,3.5,2,3.1,2.88
"183",181,"Marco Höger","GER","DM","Koeln",31,1989,2,1,50,0.6,0,0,0,0,0,0,0,0,NA
"184",182,"Lucas Höler","GER","FW","Freiburg",26,1994,19,12,1154,12.8,2,2,0,3,0,4.5,4.5,1.9,3.66
"185",183,"Matthew Hoppe","USA","FW","Schalke",19,2001,9,7,604,6.7,5,0,0,2,0,2.4,2.4,0.3,NA
